spacing(mm),length(mm),force_mag(N),nonlinearity,memory
50.0,250.0,0.02275830678197542,0.644031101844098,0.24342729996968562
50.0,250.0,0.018221574344023325,0.6431094639030135,0.2345199196827183
50.0,250.0,0.014814814814814815,0.5536424227027452,0.23157409704681806
60.0,300.0,0.23148148148148148,0.8218355522909853,0.3765578624447993
60.0,300.0,0.1457725947521866,0.7243838238196527,0.3692777750839504
60.0,300.0,0.09765625,0.7323844694385285,0.35859192167704035
60.0,300.0,0.06858710562414266,0.7426644732408689,0.35307561054165254
60.0,300.0,0.05,0.657157077550133,0.341207276578167
60.0,300.0,0.037565740045078885,0.6874825932796964,0.3326329108733618
60.0,300.0,0.028935185185185185,0.7399282422251627,0.3291382365959003
60.0,300.0,0.02275830678197542,0.7013816780312327,0.3250452846454421
60.0,300.0,0.018221574344023325,0.6325460858822884,0.31429881092391
60.0,300.0,0.014814814814814815,0.616760943894705,0.30710988122744065
70.0,350.0,0.1457725947521866,0.7972529146300438,0.42432626589634637
70.0,350.0,0.09765625,0.7295425925991926,0.42583221022798085
70.0,350.0,0.06858710562414266,0.7616455480087322,0.41865816644997483
70.0,350.0,0.05,0.7559404260767406,0.4090249518924053
70.0,350.0,0.037565740045078885,0.6776353345052846,0.39202327583022173
70.0,350.0,0.028935185185185185,0.6510161106398349,0.3749618184139068
70.0,350.0,0.02275830678197542,0.7274819206642245,0.3610753995899713
70.0,350.0,0.018221574344023325,0.691290980233731,0.34457139939426673
70.0,350.0,0.014814814814814815,0.6066012380381387,0.3428268000261435
80.0,400.0,0.09765625,0.7778687096315104,0.45565490963243027
80.0,400.0,0.06858710562414266,0.7196272999945605,0.44014065244498535
80.0,400.0,0.05,0.7360670888044195,0.40318394238777155
80.0,400.0,0.037565740045078885,0.6903653927581275,0.3836013701680304
80.0,400.0,0.028935185185185185,0.6315441076376322,0.3836063468293018
80.0,400.0,0.02275830678197542,0.7112462361144327,0.3837149779158716
80.0,400.0,0.018221574344023325,0.714490782331716,0.3565737377285545
80.0,400.0,0.014814814814814815,0.6842270936644167,0.3440614723837194
90.0,450.0,0.06858710562414266,0.7717303975524058,0.48353008726369257
90.0,450.0,0.05,0.7573696414282063,0.48521310852080546
90.0,450.0,0.037565740045078885,0.7449571982073959,0.45797082701772324
90.0,450.0,0.028935185185185185,0.6971454954593932,0.4412516670810351
90.0,450.0,0.02275830678197542,0.6683983203154721,0.41599935791609066
90.0,450.0,0.018221574344023325,0.69855080616747,0.41838974017592456
90.0,450.0,0.014814814814814815,0.6524467217856491,0.3800100586954453
100.0,500.0,0.05,0.7719708916911232,0.49396852737426156
100.0,500.0,0.037565740045078885,0.7784741787537617,0.4919783364094935
100.0,500.0,0.028935185185185185,0.7512437609860615,0.466269348849804
100.0,500.0,0.02275830678197542,0.711268450443241,0.4398851196594684
100.0,500.0,0.018221574344023325,0.7069438881508299,0.4149730050270479
100.0,500.0,0.014814814814814815,0.6854050220065175,0.41723602987429637
110.0,550.0,0.037565740045078885,0.7488262092377831,0.39346583027587734
110.0,550.0,0.028935185185185185,0.7785819863122956,0.38572280107429247
110.0,550.0,0.02275830678197542,0.7272338314370183,0.357663976217995
110.0,550.0,0.018221574344023325,0.6877146958694934,0.33892573076150245
110.0,550.0,0.014814814814814815,0.6665593237348395,0.31548341242321326
120.0,600.0,0.028935185185185185,0.7726620422455441,0.23219492683707713
120.0,600.0,0.02275830678197542,0.7559874796681967,0.22710627285205154
120.0,600.0,0.018221574344023325,0.7462708322600526,0.2253133087050545
120.0,600.0,0.014814814814814815,0.7101694223246701,0.23334880130962668
130.0,650.0,0.02275830678197542,0.733822319641596,0.29947383857538873
130.0,650.0,0.018221574344023325,0.6764435248074234,0.2977737176698856
130.0,650.0,0.014814814814814815,0.6316101657029388,0.3005531571665495
140.0,700.0,0.018221574344023325,0.7165105497511873,0.24873382233614222
