num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
4,80.0,400.0,0.23148148148148148,0.6959633923600747,0.13851794044389787
4,90.0,449.99999999999994,0.23148148148148148,0.5785118431982956,0.13712555910721427
4,100.0,500.0,0.23148148148148148,0.48426234410206437,0.153610846667162
4,110.0,550.0,0.23148148148148148,0.3893818010088437,0.18418166224944807
4,120.0,600.0,0.23148148148148148,0.35098850306957063,0.2051214823561885
4,130.0,650.0,0.23148148148148148,0.33282651960739473,0.2303646229631445
4,140.0,700.0000000000001,0.23148148148148148,0.3171721945002892,0.2404540832150968
4,150.0,750.0,0.23148148148148148,0.3021399208819613,0.2596779489202458
4,80.0,400.0,0.1457725947521866,0.8411067752965415,0.37789568340364393
4,90.0,449.99999999999994,0.1457725947521866,0.8470019324097884,0.36200199721521387
4,100.0,500.0,0.1457725947521866,0.7256546792327007,0.17385893334097233
4,110.0,550.0,0.1457725947521866,0.5922740434105772,0.12848627593572332
4,120.0,600.0,0.1457725947521866,0.5534369077578156,0.1569101044388998
4,130.0,650.0,0.1457725947521866,0.5003359124120879,0.1777011394690103
4,140.0,700.0000000000001,0.1457725947521866,0.4470521879683812,0.19674119926544517
4,150.0,750.0,0.1457725947521866,0.4379008801274142,0.2218475489111912
4,90.0,449.99999999999994,0.09765625,0.8408289912115128,0.38599944274198883
4,100.0,500.0,0.09765625,0.8416486254364173,0.36628315652325216
4,110.0,550.0,0.09765625,0.8383474469523093,0.2532179124295451
4,120.0,600.0,0.09765625,0.7790475433307537,0.1407033786529783
4,130.0,650.0,0.09765625,0.6873257815903298,0.1713919400358941
4,140.0,700.0000000000001,0.09765625,0.5667107010224356,0.1545463770368308
4,150.0,750.0,0.09765625,0.5482507063579831,0.16339980811031293
4,100.0,500.0,0.06858710562414266,0.8306338393335813,0.3759410431557146
4,110.0,550.0,0.06858710562414266,0.824632143859277,0.2791845287154356
4,120.0,600.0,0.06858710562414266,0.8381199466221798,0.17108699805653851
4,130.0,650.0,0.06858710562414266,0.7960161370817191,0.23437229799560427
4,140.0,700.0000000000001,0.06858710562414266,0.7680095640477789,0.21339871479806288
4,150.0,750.0,0.06858710562414266,0.7295272160696231,0.19034887668059222
4,110.0,550.0,0.05,0.8009389914511296,0.2845449613268469
4,120.0,600.0,0.05,0.8315573951122145,0.18174233091125827
4,130.0,650.0,0.05,0.804687102854681,0.24006970634261127
4,140.0,700.0000000000001,0.05,0.8026222833916334,0.22924369924550483
4,150.0,750.0,0.05,0.7407449042367663,0.21409335147697034
4,120.0,600.0,0.037565740045078885,0.8053964065970941,0.17579681424714927
4,130.0,650.0,0.037565740045078885,0.7974388445722317,0.24152825859340382
4,140.0,700.0000000000001,0.037565740045078885,0.792863878216171,0.2352046026289626
4,150.0,750.0,0.037565740045078885,0.7423552969507938,0.22778780156181425
4,130.0,650.0,0.028935185185185185,0.783839409652084,0.24128110277357873
4,140.0,700.0000000000001,0.028935185185185185,0.760746826672449,0.23240478252188174
4,150.0,750.0,0.028935185185185185,0.7287266257209849,0.233608581861432
4,140.0,700.0000000000001,0.02275830678197542,0.762332572443566,0.2355327390963105
4,150.0,750.0,0.02275830678197542,0.7289303953591189,0.23463613732399902
4,150.0,750.0,0.018221574344023325,0.706817612331332,0.23819067996316606
